날짜,경기선행지수
2003-01,99.42598
2003-02,98.88684
2003-03,98.49209
2003-04,98.28174
2003-05,98.26226
2003-06,98.4153
2003-07,98.68927
2003-08,99.02717
2003-09,99.35941
2003-10,99.65066
2003-11,99.88763
2003-12,100.067
2004-01,100.1895
2004-02,100.2553
2004-03,100.2801
2004-04,100.2896
2004-05,100.2805
2004-06,100.2625
2004-07,100.2376
2004-08,100.1933
2004-09,100.122
2004-10,100.0225
2004-11,99.92152
2004-12,99.84427
2005-01,99.81755
2005-02,99.84781
2005-03,99.90146
2005-04,99.96295
2005-05,100.0589
2005-06,100.2132
2005-07,100.417
2005-08,100.6495
2005-09,100.8701
2005-10,101.0449
2005-11,101.1399
2005-12,101.1402
2006-01,101.0456
2006-02,100.8873
2006-03,100.6993
2006-04,100.5098
2006-05,100.3415
2006-06,100.2263
2006-07,100.1955
2006-08,100.2451
2006-09,100.3173
2006-10,100.3657
2006-11,100.3716
2006-12,100.36
2007-01,100.3658
2007-02,100.4276
2007-03,100.5536
2007-04,100.7467
2007-05,100.9783
2007-06,101.2024
2007-07,101.3588
2007-08,101.3917
2007-09,101.2842
2007-10,101.0234
2007-11,100.631
2007-12,100.1497
2008-01,99.62065
2008-02,99.09669
2008-03,98.61138
2008-04,98.17286
2008-05,97.78011
2008-06,97.42741
2008-07,97.13194
2008-08,96.89872
2008-09,96.72361
2008-10,96.64733
2008-11,96.75647
2008-12,97.10931
2009-01,97.70209
2009-02,98.48251
2009-03,99.32123
2009-04,100.1359
2009-05,100.8607
2009-06,101.477
2009-07,101.9849
2009-08,102.3729
2009-09,102.6234
2009-10,102.7341
2009-11,102.7378
2009-12,102.662
2010-01,102.5233
2010-02,102.3542
2010-03,102.1872
2010-04,102.0267
2010-05,101.8667
2010-06,101.6923
2010-07,101.4886
2010-08,101.2683
2010-09,101.0498
2010-10,100.868
2010-11,100.7626
2010-12,100.7363
2011-01,100.7524
2011-02,100.7421
2011-03,100.6533
2011-04,100.4865
2011-05,100.2503
2011-06,99.96149
2011-07,99.64073
2011-08,99.29989
2011-09,98.96748
2011-10,98.67298
2011-11,98.45602
2011-12,98.36227
2012-01,98.38689
2012-02,98.49779
2012-03,98.64041
2012-04,98.77501
2012-05,98.87054
2012-06,98.91999
2012-07,98.92331
2012-08,98.91406
2012-09,98.91472
2012-10,98.92846
2012-11,98.96825
2012-12,99.0484
2013-01,99.1507
2013-02,99.285
2013-03,99.45225
2013-04,99.61071
2013-05,99.73196
2013-06,99.79426
2013-07,99.78669
2013-08,99.73969
2013-09,99.66779
2013-10,99.60166
2013-11,99.56415
2013-12,99.56415
2014-01,99.57964
2014-02,99.59058
2014-03,99.58583
2014-04,99.56008
2014-05,99.52673
2014-06,99.50606
2014-07,99.5153
2014-08,99.5743
2014-09,99.68137
2014-10,99.83168
2014-11,100.0142
2014-12,100.1945
2015-01,100.3327
2015-02,100.4278
2015-03,100.4805
2015-04,100.4918
2015-05,100.4706
2015-06,100.43
2015-07,100.3973
2015-08,100.378
2015-09,100.3726
2015-10,100.3666
2015-11,100.3548
2015-12,100.3378
2016-01,100.3229
2016-02,100.3294
2016-03,100.3632
2016-04,100.4158
2016-05,100.4854
2016-06,100.5736
2016-07,100.677
2016-08,100.7929
2016-09,100.9069
2016-10,101.0114
2016-11,101.1255
2016-12,101.2617
2017-01,101.4039
2017-02,101.5303
2017-03,101.6194
2017-04,101.6569
2017-05,101.6419
2017-06,101.584
2017-07,101.4796
2017-08,101.3383
2017-09,101.17
2017-10,100.9822
2017-11,100.7704
2017-12,100.5577
2018-01,100.3735
2018-02,100.2266
2018-03,100.1012
2018-04,99.99363
2018-05,99.89176
2018-06,99.7807
2018-07,99.6664
2018-08,99.55738
2018-09,99.4509
2018-10,99.34635
2018-11,99.25956
2018-12,99.20256
2019-01,99.15974
2019-02,99.11896
2019-03,99.05398
2019-04,98.95607
2019-05,98.85057
2019-06,98.75549
2019-07,98.66432
2019-08,98.60276
2019-09,98.58587
2019-10,98.62304
2019-11,98.70199
2019-12,98.79444
2020-01,98.8603
2020-02,98.91479
2020-03,98.97602
2020-04,99.06883
2020-05,99.21474
2020-06,99.44671
2020-07,99.75529
2020-08,100.1197
2020-09,100.5125
2020-10,100.9063
2020-11,101.2928
2020-12,101.6703
2021-01,102.0416
2021-02,102.3832
2021-03,102.6677
2021-04,102.8616
2021-05,102.9132
2021-06,102.8042
2021-07,102.5648
2021-08,102.2452
2021-09,101.8856
2021-10,101.5368
2021-11,101.2459
2021-12,101.0236
2022-01,100.8454
2022-02,100.7044
2022-03,100.5896
2022-04,100.4771
2022-05,100.3391
2022-06,100.1646
2022-07,99.96639
2022-08,99.75011
2022-09,99.48739
2022-10,99.17676
2022-11,98.85669
2022-12,98.5883
2023-01,98.40572
2023-02,98.3458
2023-03,98.4164
2023-04,98.58697
2023-05,98.82563
2023-06,99.08222
2023-07,99.29905
2023-08,99.48109
2023-09,99.63481
2023-10,99.76933
2023-11,99.89445
2023-12,100.0168
