날짜,종가
2023-12-01,"1,294.40"
2023-11-01,"1,299.35"
2023-10-01,"1,352.15"
2023-09-01,"1,352.31"
2023-08-01,"1,325.14"
2023-07-01,"1,277.86"
2023-06-01,"1,315.11"
2023-05-01,"1,320.56"
2023-04-01,"1,337.78"
2023-03-01,"1,306.11"
2023-02-01,"1,323.02"
2023-01-01,"1,233.30"
2022-12-01,"1,260.92"
2022-11-01,"1,301.65"
2022-10-01,"1,425.83"
2022-09-01,"1,439.96"
2022-08-01,"1,341.19"
2022-07-01,"1,302.97"
2022-06-01,"1,287.51"
2022-05-01,"1,242.26"
2022-04-01,"1,263.03"
2022-03-01,"1,214.17"
2022-02-01,"1,200.12"
2022-01-01,"1,204.63"
2021-12-01,"1,187.96"
2021-11-01,"1,182.71"
2021-10-01,"1,174.47"
2021-09-01,"1,184.23"
2021-08-01,"1,158.73"
2021-07-01,"1,151.41"
2021-06-01,"1,130.48"
2021-05-01,"1,106.58"
2021-04-01,"1,117.16"
2021-03-01,"1,127.17"
2021-02-01,"1,123.89"
2021-01-01,"1,117.64"
2020-12-01,"1,084.47"
2020-11-01,"1,109.32"
2020-10-01,"1,136.49"
2020-09-01,"1,164.65"
2020-08-01,"1,187.94"
2020-07-01,"1,193.59"
2020-06-01,"1,199.28"
2020-05-01,"1,231.49"
2020-04-01,"1,212.94"
2020-03-01,"1,218.30"
2020-02-01,"1,200.20"
2020-01-01,"1,194.97"
2019-12-01,"1,154.07"
2019-11-01,"1,180.70"
2019-10-01,"1,169.24"
2019-09-01,"1,198.09"
2019-08-01,"1,209.50"
2019-07-01,"1,187.32"
2019-06-01,"1,155.38"
2019-05-01,"1,187.80"
2019-04-01,"1,163.25"
2019-03-01,"1,136.10"
2019-02-01,"1,124.60"
2019-01-01,"1,111.40"
2018-12-01,"1,113.30"
2018-11-01,"1,119.44"
2018-10-01,"1,141.02"
2018-09-01,"1,109.98"
2018-08-01,"1,115.46"
2018-07-01,"1,112.25"
2018-06-01,"1,113.91"
2018-05-01,"1,079.59"
2018-04-01,"1,069.33"
2018-03-01,"1,060.25"
2018-02-01,"1,084.21"
2018-01-01,"1,069.08"
2017-12-01,"1,066.37"
2017-11-01,"1,087.13"
2017-10-01,"1,117.42"
2017-09-01,"1,144.29"
2017-08-01,"1,123.85"
2017-07-01,"1,118.40"
2017-06-01,"1,144.43"
2017-05-01,"1,118.65"
2017-04-01,"1,136.87"
2017-03-01,"1,116.65"
2017-02-01,"1,136.39"
2017-01-01,"1,150.65"
2016-12-01,"1,206.25"
2016-11-01,"1,176.39"
2016-10-01,"1,141.73"
2016-09-01,"1,100.91"
2016-08-01,"1,115.29"
