,날짜,전국,서울,강북14개구,강남11개구,6개광역시,부산,대전,대구,인천,광주,울산,전국_label,서울_label,강북14개구_label,강남11개구_label,6개광역시_label,부산_label,대전_label,대구_label,인천_label,광주_label,울산_label
0,2003-03-01,0.6964143854574697,0.513148350986864,0.5005869778743476,0.5565431801060144,0.8601399345117953,1.2149060123485804,0.0035924191740191,0.4208042167134223,0.6202292722651614,2.3521571825932246,1.0722990136905612,1,1,1,1,1,1,1,1,1,1,1
1,2003-04-01,1.823134080891173,2.3262890254412585,0.9334747940553372,2.969016400006236,1.6103620008976736,2.071114252547736,0.5248928356746376,0.84250817116006,0.146558553991321,3.902046239628525,3.386914332884146,1,1,1,1,1,1,1,1,1,1,1
2,2003-05-01,4.094939695088269,4.820346958629552,2.093826553969389,6.114887034623498,3.3126279245636514,4.1880185138362,1.982898202865763,2.548013824535744,1.1872600628630905,5.909232483758728,3.666945991686046,1,1,1,1,1,1,1,1,1,1,1
3,2003-06-01,5.323185857611433,5.799814906923419,2.452431939955885,7.336884267332778,4.731904317770538,6.9253303487722055,2.702774734880716,3.9119549814912986,1.364174139159314,7.449772190534436,4.107911902845185,1,1,1,1,1,1,1,1,1,1,0
4,2003-07-01,5.773312741395294,6.509609661180811,2.6514852247574106,8.474988329393716,5.2283624965301705,7.266854716134639,3.530211438954224,4.387787741295433,1.593900015311139,8.708801157082586,3.9500619024006034,1,1,1,1,1,1,1,1,1,1,0
5,2003-08-01,6.406509067228241,7.696807254840571,3.058588111647225,10.21886186323196,5.832789600026643,7.754738506368647,4.02061349669861,4.890931290106107,1.957590844556552,10.55760601468244,3.7556758468940834,1,1,1,1,1,0,1,1,1,1,1
6,2003-09-01,7.678765384042609,9.97656414964582,4.07559891707056,13.366524911503369,6.965057059982375,8.285646715293755,5.522888185913303,5.772365298159315,2.41388318431422,13.740280172793447,4.506845613126602,1,1,1,1,1,0,1,0,0,1,0
7,2003-10-01,9.265400656443497,12.22328839306017,5.381062236745969,16.253790222699294,8.184244289052167,8.777514802112837,7.792422079166523,6.842657866054382,2.740559484545746,16.738801712639475,4.634549883053387,0,0,0,-1,0,-1,0,-1,0,0,0
8,2003-11-01,9.21344721846959,11.640238456642455,5.48099530257151,15.21220572326268,8.136579112078774,8.653290052430894,8.071683281492806,6.524818807073446,2.6811164929574165,16.76663755109789,4.7137310495977,0,0,0,0,0,-1,0,-1,0,0,0
9,2003-12-01,8.664994966177787,10.969569302315955,5.210602891376863,14.26382818535344,7.459203917179787,8.082438210680024,7.287851630084763,5.9312419723584044,2.1909673472022546,15.68461227598133,4.195194688027129,1,0,1,0,1,0,1,0,0,1,1
10,2004-01-01,8.517950275571565,10.743670252197324,5.181398159279102,13.899996197966376,7.290892725236042,7.895589848774111,6.930749845123957,5.780305820903044,1.9095199367770597,15.86473446995718,3.9625859289383074,1,0,0,0,1,0,1,0,1,1,1
11,2004-02-01,8.832919020166207,11.34485758744962,5.582559661896549,14.642244371127328,7.5165227372105665,7.880202652800422,7.149936534082331,5.987250265310254,2.1511668970215263,16.49274548009193,4.18415420180692,0,0,0,0,1,0,1,0,1,1,1
12,2004-03-01,9.154327808681009,11.806413320248277,5.829984816390978,15.25339992292298,7.75431348667278,7.97024366186153,7.625339801339449,6.066406113719278,2.234958165307092,16.929026144379375,4.691229583963614,0,0,0,0,1,0,1,0,1,1,1
13,2004-04-01,9.48739485396166,12.43042397540047,6.270096081821568,16.00441612618423,8.01138444738089,8.106045383497,7.826239554285152,6.2001134983103,2.4133149705230617,17.476165960477243,5.368658395528312,0,-1,-1,0,0,-1,0,-1,1,0,1
14,2004-05-01,9.58790086805809,12.584727024455049,6.415413390993091,16.16511757288354,8.209594761081009,8.144404849310863,7.854762293565487,6.223211776184856,2.375692623064946,18.32264038172012,6.16659891658948,0,-1,-1,0,0,-1,0,-1,1,0,0
15,2004-06-01,9.52626620395537,12.423217516565916,6.407544078939163,15.897505339558446,8.290539724988292,8.087498064092777,7.94755632982263,6.035441867370399,2.705796285846078,18.79959582277002,6.291609143907027,0,0,-1,0,0,-1,0,-1,1,0,0
16,2004-07-01,9.413363580474806,12.139869435932956,6.158223401553655,15.587464942900914,8.235432123175713,7.737982625690987,7.988588928078716,5.903838234689174,2.846430658966808,19.044975805602014,6.329758948197105,0,0,-1,0,0,-1,0,-1,1,0,0
17,2004-08-01,9.199016274928464,11.65571337558726,5.92144978123032,14.92920241940989,8.124434813233309,7.546698797815313,7.903155508779015,5.473133765063542,2.915582279871729,19.223838305598,6.257257335270364,0,0,0,0,0,-1,0,-1,1,0,1
18,2004-09-01,9.120305959820444,11.421484156453593,5.766658005300335,14.637255501915575,8.122101327603808,7.407017774995106,8.114720397295073,5.114939243342032,3.3102595858523944,19.170380750594067,6.396232814019317,0,0,0,0,0,-1,0,-1,1,0,1
19,2004-10-01,9.02738904494603,11.086317184462883,5.516250389639879,14.240580414770628,8.17721862017419,7.283767050396671,8.158684132691524,4.749925567067767,4.377362314835977,18.998094123639547,6.6283217090622015,0,0,0,0,0,-1,0,-1,1,0,1
20,2004-11-01,8.704925979485848,10.648851201881158,5.240988592918347,13.68662465971317,7.89147592380859,6.968393313027972,8.086911968889634,4.164526717921105,4.857095880526948,17.86569862380836,6.878130826459919,1,1,0,1,1,-1,1,-1,1,0,1
21,2004-12-01,8.489537041133984,10.343479781357743,4.9896638650410265,13.352364647314868,7.68873279988076,6.799386113819484,8.024068731444691,3.548887541218832,5.156861239402731,17.119596100370053,6.930832742246627,1,1,1,1,1,0,1,0,1,1,1
22,2005-01-01,8.37732206782828,10.117080496044084,4.711371650065837,13.173449767069306,7.577490346878872,6.672118703641383,8.001631069154152,3.1967210557747547,5.447294721231779,16.68467189433501,6.897862860431784,1,1,1,1,1,0,1,1,1,1,1
23,2005-02-01,8.871433352075172,11.062202911280492,4.944219929215365,14.612375857693388,7.716571029268188,6.5848143861987865,8.321334100184966,3.254144520708207,5.785495422990467,16.866414345839384,7.047975718405175,1,1,1,1,1,0,1,1,1,1,1
24,2005-03-01,9.364549264186005,11.50253753661517,5.204523139515515,15.178565167231673,8.130237073718098,6.580511535873715,8.847402196213794,3.5815829472528904,6.332664778424172,17.942855291891416,7.4107880198231,1,1,1,1,1,0,1,1,1,1,1
25,2005-04-01,10.048895764723383,12.52978889258054,5.405052922795906,16.755707782941233,8.717611015682733,6.824533707102826,9.854360120849147,3.835768035596284,6.907974275024436,18.937042903481547,8.152731015708488,1,1,1,1,1,0,1,0,1,1,1
26,2005-05-01,10.751816708700964,13.396966709827277,5.683569607943967,18.003700353775944,9.192117329811426,6.853711041794607,11.031008269593109,4.015377859007495,7.395221933447068,19.448928025306845,8.86002593440475,1,1,1,1,1,-1,1,0,1,0,1
27,2005-06-01,11.820609377567685,15.290303700148286,5.8431948798971485,20.95725760412531,9.536810925216969,6.717815390877767,12.04063366858611,4.075060887509082,7.730179631862767,19.957175977335663,9.41396594412164,1,1,1,1,1,0,1,0,1,0,1
28,2005-07-01,12.779991453227671,16.916509205151122,6.716759588652718,23.019816860923413,9.864528546644015,6.85353498082918,12.865936550903198,4.096351951302841,7.990932469200201,20.17498628938513,10.027771773783504,1,0,1,0,1,-1,1,0,1,-1,0
29,2005-08-01,13.169359918794417,17.285403627161884,7.417326655617182,23.201851874879186,10.244224391820708,6.906389599729895,13.793118982252842,4.197667672786958,8.780390481269153,20.23892512457212,10.348388474464098,0,0,1,0,1,-1,1,0,1,-1,0
30,2005-09-01,13.320019464260085,17.374121227416836,7.780800151209519,23.134278108841528,10.408475846723826,6.857905396444057,14.451598331189528,3.994417618532673,9.250793253591915,20.13376863378589,10.656433386708276,1,1,1,1,1,-1,1,0,1,-1,0
31,2005-10-01,13.240794520642874,17.131903033051284,7.890119614603246,22.689147205329498,10.369507539271956,6.725483003359374,14.847474205901284,3.8469258772484327,9.43391653885963,19.485383667483877,10.650039400084689,1,1,1,1,1,-1,1,0,1,0,0
32,2005-11-01,13.222531080014504,17.256968028883406,7.863420459816192,22.90297553279521,10.32666497453554,6.571635892577035,15.255424750530752,3.649378242909545,9.58231729168992,19.035495506147207,10.49791556309688,1,1,0,1,1,-1,1,0,1,0,1
33,2005-12-01,13.412687784098216,17.674260226596093,7.956474914124321,23.506924364080405,10.474236556054525,6.485857013323352,15.749441504128846,3.577374111602786,9.726445196820832,19.39980998943296,10.551952316466869,1,1,0,1,1,-1,1,0,1,0,1
34,2006-01-01,13.787657898810965,18.41078201538691,8.153322750134516,24.54815214372246,10.69273024396035,6.427124497113285,16.188544631080358,3.5879883545154785,10.160307865965132,19.72770632243395,10.816999300430446,1,1,0,1,1,-1,1,0,1,-1,1
35,2006-02-01,14.294391808123413,19.28305182193577,8.643847997581268,25.63141908882709,10.87825385330046,6.4763526811257215,16.530314147308907,3.6405461348236967,10.59356226480147,19.74179953436401,11.14074708853872,1,1,0,1,1,-1,0,0,1,-1,1
36,2006-03-01,14.953077312862389,20.643687260894083,9.026914813975065,27.51763243533337,11.070950133461542,6.503143232258917,16.89201317401882,3.821855515698232,10.91219567560781,19.783706748100887,11.464419427143614,1,1,1,1,1,-1,0,0,1,-1,1
37,2006-04-01,15.81751683883002,22.36105727888229,9.687671766635829,29.771780924183133,11.30362905166932,6.390904994599568,17.16744066915689,4.258820530136293,11.26294360483163,19.69156334276225,12.353869940981925,1,1,1,1,1,-1,-1,1,1,-1,1
38,2006-05-01,16.841695060689368,23.88420969137476,10.368787348825729,31.697875264039062,11.506899671862444,6.240114888140055,17.349226986606432,4.691822101091762,11.460263085833136,19.35742105006941,13.853736671355527,1,1,1,1,1,-1,-1,1,1,-1,1
39,2006-06-01,17.27282013882711,24.37499340949429,10.788043013815631,32.22162907232894,11.553320717489322,6.057697730990196,17.27447223624888,4.955832386148194,11.862889041104571,18.819735233271118,14.562148619524526,1,1,1,1,1,-1,-1,1,1,-1,1
40,2006-07-01,17.426089154652537,24.56826501102385,11.00830119658514,32.40171021224342,11.512701558145212,5.920357384894582,17.074818188790662,5.120518389512459,11.908754308443342,18.56521617278645,14.946480404974524,1,1,1,1,1,-1,-1,1,1,-1,1
41,2006-08-01,17.581537246517197,24.74243924589269,11.274095625480673,32.530595858752726,11.540545778849612,5.882604578276123,16.88767783138497,5.4267454665487325,11.979809031004178,18.380510791264854,15.29670229110416,1,1,1,1,1,-1,-1,1,1,-1,1
42,2006-09-01,17.91523073697992,25.167202991697124,11.695531604041737,32.95263858413528,11.592613027128357,5.702716415550993,16.73874515490612,5.885305907677523,12.094085688055834,17.91415246753982,16.09027850688892,1,1,1,1,1,0,-1,1,1,-1,1
43,2006-10-01,19.10239986220652,26.735436708944416,13.087132443658868,34.58191819066609,11.978932395776496,5.656927849111723,16.6562742071167,7.064467822700927,12.357030835775388,17.79952544245746,17.722531571547947,1,1,1,1,1,1,-1,1,1,-1,1
44,2006-11-01,22.087989364322237,31.049026704371983,17.855126594145997,38.60001863721117,12.930555173811827,5.67298242349474,16.58563923432557,10.502925747255745,12.530548881823014,17.853270600933758,20.1695438668048,1,1,1,1,1,1,-1,1,0,-1,1
45,2006-12-01,23.72384854697428,33.57552190619008,22.38217039986255,40.11269718028976,13.73780552227487,5.728896817790998,16.518189455425567,13.76109714692313,12.630577204808196,17.760266909233387,21.436955084057303,1,1,1,1,1,0,-1,1,0,-1,1
46,2007-01-01,24.500461783419468,34.79351550407206,24.644188920666327,40.773657363857765,14.162011224652144,5.732260387133207,16.44923403151807,15.485864674478956,12.64103606764235,17.52395301345831,22.33674449163911,1,1,1,-1,1,0,-1,1,-1,-1,1
47,2007-02-01,24.71763137772322,35.01077720963905,25.154603577533948,40.82989864554684,14.29876695369595,5.705709937258726,16.34635142184878,16.14806849917106,12.626409812305218,17.247078979187364,22.86566934213988,0,0,1,-1,1,1,-1,1,-1,-1,1
48,2007-03-01,24.762416763739665,35.0969966216941,25.37953048848024,40.84258027688,14.304231962931937,5.751784843537637,16.11914177672596,16.30973802696178,12.669202019199794,16.97300843285346,23.14809142936661,0,0,1,-1,1,0,-1,1,-1,-1,0
49,2007-04-01,24.731833464772343,35.06481103609105,25.6854990500468,40.632174248056415,14.297217040646458,5.785643709042536,15.801160369027848,16.687386970793263,12.662104039472624,16.56197009286491,23.31179954162101,0,0,0,0,1,0,-1,1,-1,-1,0
50,2007-05-01,24.640754973181853,34.92013308696282,25.77548062206917,40.362058376976094,14.312552731241606,5.769955399772409,15.53420670882498,17.160890936437,12.542605931733757,16.374389669577717,23.38143579220484,1,0,1,0,1,0,-1,1,0,-1,0
51,2007-06-01,24.669634347644344,34.956398526572094,25.958761803519405,40.317240451787406,14.392971404336194,5.735496690453697,15.340295543043217,17.811802960604638,12.474368862299844,16.17713932712148,23.491699723500133,1,1,1,0,1,0,-1,1,0,-1,-1
52,2007-07-01,24.79990381914107,35.156663713742354,26.3530153544541,40.40909114784185,14.520605013235128,5.7874173743745,15.04042085288776,18.692678010547244,12.416688722793378,15.927115833478528,23.572737385408274,1,1,1,0,1,0,-1,1,0,-1,-1
53,2007-08-01,24.903660882641592,35.29381793990415,26.659913564226866,40.45048931946097,14.62645654814976,5.772546760556515,14.849986927574427,19.38675384304508,12.370538107175427,15.82377991286582,23.511454540776896,1,1,1,0,1,0,-1,1,0,0,-1
54,2007-09-01,25.011833372526283,35.43526353634389,26.99218002479477,40.48393032144059,14.70665848133098,5.8519602200548615,14.658942301219213,19.89961495533672,12.36788988880026,15.702705833808734,23.4061394719682,1,1,1,0,1,1,-1,1,0,0,-1
55,2007-10-01,25.126636544457988,35.60544531972119,27.471205362596585,40.47944580842792,14.86782428690224,5.924120695343508,14.472226192601903,20.667386223582067,12.439614596075767,15.63022959333294,23.318793127513004,1,1,1,1,1,1,-1,1,0,0,-1
56,2007-11-01,25.24511206940354,35.821140839048184,28.09499497851511,40.46033219553505,15.009707903127545,5.94343698028441,14.23280706971597,21.45782738334977,12.415297603528956,15.64853853567014,23.2817441221042,1,1,1,1,1,1,-1,1,1,1,-1
57,2007-12-01,25.27704702213051,35.92681007598966,28.4686210811236,40.40879432597888,15.056292760676437,6.00095538186554,13.98318487771762,21.85704185001057,12.389270096745683,15.65456342088953,23.153132902155736,1,1,1,0,1,1,-1,1,1,1,0
58,2008-01-01,25.40185525040652,36.245075740168296,29.138861116304334,40.48220187040105,15.121438850505749,6.103170635183853,13.78283318495411,22.30337815712882,12.3328548296017,15.603604789063752,23.056952716462188,1,1,1,0,1,1,-1,1,1,1,0
59,2008-02-01,25.57416631436478,36.59782397410525,29.884991159287104,40.55704882423748,15.255372124843772,6.232516694105985,13.650012576078815,22.84875904147523,12.389853187241458,15.573523451459923,23.07071941212375,1,1,1,0,1,1,-1,1,1,1,0
60,2008-03-01,26.033439163087767,37.47926313642216,31.61540981137181,40.82681442788618,15.580558708467205,6.657368326424519,13.557799305492049,23.781527512130545,12.506274042380214,15.669352613702031,23.084894188504677,1,1,1,0,1,1,-1,1,1,1,0
61,2008-04-01,26.73576131008201,38.714797058640336,33.96615527478413,41.223801287496336,16.095532519260697,7.073869594711657,13.403112404904736,25.460048845768057,12.826865977392654,15.808189891648151,23.03690290261754,0,0,1,0,1,1,-1,1,1,0,0
62,2008-05-01,27.160775466590803,39.26040659064717,34.92105610302417,41.45150669616232,16.464364957159287,7.441718047535582,13.27244756712343,26.547674655890347,13.096371271759576,15.8774448702851,23.11241995611983,0,0,0,0,1,1,-1,1,1,0,0
63,2008-06-01,27.57128567963156,39.601831627823806,35.551244552339654,41.56505288863377,16.87381122143308,7.849347366896224,13.08111304619876,27.84979021616988,13.226256440157066,15.996177337733869,23.174914675531497,0,-1,0,-1,0,1,-1,1,1,0,-1
