지역명,Dec-98,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24
전국,50.8236,51.6401,53.5271,54.8,55.6,56.2,56.9,57.1,57.5,58.7,59.3,59.3,59.4,60,61.6,62.64,63.42,63.5,63.5,63.75,64.47,65.48,66.09,66.07,65.67,65.95,67.32,68.33,68.66,68.76,68.63,68.64,68.77,69.15,69.48,69.23,68.85,68.53,68.66,68.6,68.8,68.6,68.22,67.86,67.41,66.67,66.18,65.6,65.3,65,65.08,65.09,64.79,63.72,63.44,62.8088,62.6399,62.3127,60.9572,60.7065,60.4662,60.419,60.559,60.7754,60.6917,60.6274,60.3969,60.1499,59.8358,59.7094,59.6397,59.5238,57.203,57.058,57.156,57.206,57.113,56.96,56.72,56.427,56.327,56.578,56.908,57.127,57.125,57.118,57.185,57.242,57.125,56.794,56.615,56.575,56.619,56.711,56.638,55.48,54.691,54.269,54.296,54.443,54.59,54.603,54.553,54.451,54.332,54.289,54.208,54.095,53.999,53.887,53.775,53.603,53.391,53.11,52.767,52.608,52.485,52.459,52.483,52.568,52.441,52.262,52.266,52.4358,52.5369,52.6005,52.6918,52.773,52.8975,53.3311,53.5457,53.7688,53.8573,53.9921,54.2695,54.5255,54.7571,54.9596,55.2083,55.4812,55.7459,56.0242,56.364,56.8273,57.0675,57.3168,57.8497,58.4482,58.8639,58.9999,58.4691,58.6834,59.0933,59.6661,60.01,60.1415,60.0748,60.1522,60.3247,60.5663,60.8478,61.1527,61.2914,61.4942,61.6867,62.0688,62.6086,63.0338,63.2804,63.5472,63.878,64.3403,63.2517,63.4564,63.7206,64.0343,64.5182,65.2137,65.8503,66.3516,66.8324,67.2291,67.69,68.068,68.4061,68.5452,68.7873,68.9169,69.05,69.2394,69.3846,69.6334,69.9669,70.2189,70.5894,70.9696,71.3118,71.4758,71.8712,72.1929,72.4425,72.9434,73.2769,73.7159,74.0217,74.0691,74.412,74.7409,74.9475,75.2458,75.3809,75.4372,75.4542,75.436,75.4003,75.3742,75.4395,75.5749,75.6652,75.7192,75.7066,75.6386,75.4647,75.2887,75.0357,74.9683,74.8787,74.7631,74.5928,74.3297,74.077,73.6909,73.4019,73.1936,73.0208,72.7961,72.6094,71.8596,71.4268,71.2416,71.0844,71.1273,70.9746,70.905,70.8479,70.7925,70.7711,70.6774,70.6277,70.5741,70.5336,70.4782,70.2124,70.0327,69.7665,69.208,69.0418,68.9844,68.7463,68.3416,68.2339,68.7085,69.1224,69.879,69.8424,69.5424,69.0309,68.4876,68.0482,67.7292,67.3722,67.1998,66.9294,66.5361,66.1931,65.9323,65.9123,66.008027,66.09778816,66.18868284,66.27045493,66.28634306,66.34533029,66.43319014,66.49045299,66.52407886,66.52661522,67.68334652,67.28303018,66.65901722,66.02513674,65.89334601,65.95681572,65.9298227,65.91942055,65.87234405,65.80493525,65.84322136,65.94295086,66.07170823,66.21766449,66.38099915
서울,47.9196,48.7101,51.415,52.8,53.6,54.2,54.7,55.1,55.8,57,57.2,57,56.49,56.7,58.32,59.48,60.07,60.2,60,60.03,60.67,61.63,62.1,61.5,60.64,61.17,62.57,63.56,64.25,64.43,64.01,63.8,63.67,64.59,64.64,64.43,63.38,62.11,61.96,62.1,62.7,62.3,61.89,61.35,60.65,58.72,57.6,56.31,55.49,54.32,54.83,54.99,54.95,53.97,53.53,52.7833,52.4111,51.7263,50.6076,50.3416,50.0885,50.0086,50.071,50.3829,50.1788,50.0682,49.7486,49.742,49.4822,49.425,49.4163,49.4423,49.125,48.984,48.964,48.862,48.527,48.16,47.699,47.254,47.228,47.597,48.067,48.387,48.375,48.352,48.343,48.372,48.074,47.554,47.454,47.438,47.48,47.67,47.453,45.449,43.811,42.873,42.823,42.987,43.149,43.189,43.14,43.022,42.898,42.811,42.658,42.402,42.165,41.88,41.671,41.163,40.339,39.831,39.312,39.225,39.056,38.94,38.883,38.934,38.67,38.1799,38.2798,38.6123,38.71,38.7915,38.8865,38.9134,39.1071,39.7342,40.02,40.3842,40.5631,40.7319,40.9792,41.2915,41.517,41.7825,42.057,42.3169,42.5896,42.9684,43.5106,44.0332,44.3712,44.8132,45.6103,46.3972,46.8403,47.0377,47.4097,47.9891,48.8656,49.9473,50.5275,50.81,50.8293,50.9666,51.1558,51.4058,51.7182,51.9217,52.0801,52.359,52.6446,53.2709,53.9528,54.4672,54.8102,55.2075,55.6594,56.1532,56.231,56.4165,56.7267,57.345,58.1364,59.1421,60.0567,60.7567,61.461,62.063,62.7404,63.2282,63.616,63.7972,63.9991,64.1433,64.4196,64.6461,64.8955,65.2381,65.7054,66.0974,66.8194,67.6316,68.2004,68.7893,69.5708,70.3214,70.9241,71.8087,72.3377,73.0003,73.4247,73.7891,74.1781,74.5778,74.7545,74.9664,75.0694,74.846,74.4589,74.1782,73.6602,73.2606,73.2335,73.2517,73.2316,73.2201,73.2118,73.0119,72.3797,72.0389,71.3609,71.1996,70.8791,70.6317,70.059,69.322,68.5403,67.1875,66.245,65.8497,65.3984,64.8121,64.2908,61.7207,60.3028,59.6259,59.3612,59.8305,59.5705,59.4272,59.316,59.3187,59.2511,58.7654,58.4314,58.0473,57.6004,57.2436,56.4761,56.0397,55.5724,54.8622,54.7234,54.7524,54.5288,53.7854,53.2652,53.6418,54.222,55.4851,56.0769,56.264,56.1651,55.9395,55.777,55.5999,55.5195,55.4622,55.282,54.9019,54.552,54.4842,54.5391,54.586033,54.6302243,54.59736686,54.60402605,54.66066328,54.67892878,54.70448581,54.70442819,54.69381726,54.67053782,53.68773017,52.92469582,51.95735278,51.23477603,50.91985821,50.82657136,50.87116895,50.95652006,50.93874377,50.99100304,51.08255263,51.31755237,51.61970272,51.91729282,52.24691459
강북14개구,49.9,51,54.2,55.9,56.8,58,58.1,58.4,59.1,61.4,61.1,60.5,60.2,60.7,62.9,65.3,65.7,65.6,65.3,65.6,66.3,67.2,67.3,66.2,64.6,65.5,68.2,69.5,70.5,70.8,70.2,70.3,69.8,70.9,70.4,70,69.2,69.1,69.7,71.1,72.1,71.6,70.8,70.2,70,68,66.7,65.1,63.6,62.17,62.58,62.74,62.17,61.32,60.38,59.7443,59.4677,59.0771,58.4763,57.9223,57.4749,57.3375,57.4609,57.5464,57.4658,57.4221,57.0411,56.959,56.7294,56.5961,56.5349,56.4182,55.446,55.304,55.227,55.093,54.816,54.571,54.358,53.974,53.854,54.106,54.382,54.63,54.637,54.734,54.916,55.307,55.472,55.348,55.269,55.274,55.378,55.765,55.844,53.713,51.201,49.658,49.498,49.727,49.819,49.756,49.642,49.455,49.273,49.076,48.797,48.329,47.918,47.363,46.938,45.875,44.232,43.319,42.39,41.97,41.753,41.716,41.745,41.725,41.446,40.9702,41.038,41.2944,41.404,41.5143,41.5957,41.6312,41.8056,42.5052,42.8327,43.0862,43.21,43.2781,43.5304,43.9324,44.141,44.3547,44.6012,44.79,45.0436,45.4135,45.943,46.3421,46.5723,46.9772,47.9565,48.9734,49.5066,49.6993,49.8172,50.3629,51.2851,52.467,53.1511,53.5165,53.5063,53.52,53.7367,53.9943,54.2348,54.515,54.6189,54.8689,55.0611,55.5919,56.1879,56.5679,56.7591,57.0541,57.4074,57.9732,57.9381,58.1495,58.455,59.1049,59.9659,60.9767,61.9651,62.6595,63.2267,63.7754,64.3795,64.8994,65.451,65.7181,66.012,66.2071,66.5484,66.9376,67.2676,67.5984,67.932,68.2952,68.8233,69.5218,70.0363,70.5732,71.5448,72.2223,72.8113,73.6837,74.2346,74.9506,75.4843,75.9964,76.3699,76.9739,77.3167,77.7245,78.162,78.2067,78.1654,78.1049,77.9408,77.5522,77.4994,77.4683,77.4334,77.3951,77.4116,77.2928,76.8092,76.3051,75.4273,75.2676,74.9626,74.6904,74.3256,73.7039,73.131,72.0833,71.0484,70.5775,70.0654,69.3489,68.581,65.8464,64.1027,63.291,62.8848,62.9646,62.723,62.5199,62.34,62.2934,62.245,61.8211,61.4902,61.0836,60.6848,60.1658,59.4575,58.8429,58.1933,57.2024,56.9468,56.9438,56.513,55.5963,54.8021,55.1924,55.6878,56.7008,57.0768,57.2108,57.1858,57.006,56.8359,56.7673,56.4786,56.5096,56.4231,56.045,55.7299,55.8334,55.9263,55.97071,56.03532185,56.02860193,56.05409619,56.08457691,56.11424762,56.14671024,56.16460678,56.18147921,56.28340622,55.164179,54.60697385,53.955938,53.46669778,53.33006572,53.14976501,53.13207201,53.19549161,53.10797861,53.13189628,53.18220718,53.35765916,53.63023686,53.89344745,54.20964576
종로구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.1178,57.1298,57.4038,57.8198,58.237,58.9834,59.5576,59.5516,59.7256,60.0646,60.7231,61.3565,61.5733,61.6393,61.9313,62.04,62.2911,62.5329,62.7114,64.8629,65.1505,65.4097,65.9927,66.0749,66.1077,66.5178,66.997,67.1867,68.0598,68.1665,68.5003,68.6447,68.5335,66.606,67.4471,67.4471,67.4812,67.6197,68.1231,69.3434,70.3398,70.4481,70.4341,70.4587,70.2396,70.4397,70.1435,70.4559,70.4482,71.5101,71.114,70.8867,70.6071,70.4238,70.2296,70.0713,69.5861,70.0515,69.9468,69.6048,69.4196,69.9721,69.8616,69.8946,69.7725,68.3657,67.0744,66.3913,66.08,66.9843,66.9843,66.6148,65.1759,65.7366,65.901,65.5444,65.533,64.3547,64.0531,63.2666,63.0867,62.8332,62.6859,62.6859,63.308,63.4659,63.5056,63.3181,62.5543,62.5543,62.997,64.0815,64.4756,64.2488,63.4042,62.8628,61.568,61.3756,61.5427,62.6384,63.0219,62.4026,61.8475,64.4639,65.0188,65.127463,65.12746322,65.01804434,64.87351035,64.42855497,64.31860516,64.19502088,64.16773577,64.15907143,64.10913054,59.85232299,59.27862126,58.03256418,57.13794702,57.29369974,56.70418001,56.3316448,56.37717977,56.46073402,56.34456053,56.43364153,56.48426067,56.69085511,57.05882796,57.44181791
중구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.0775,59.4705,60.1023,60.1687,60.8249,61.9168,63.0934,63.3911,64.4465,65.4418,65.4801,66.4062,67.0248,67.5089,67.694,67.8666,68.8447,69.1622,69.5903,69.6933,69.9955,70.0968,70.6504,72.0246,72.3351,73.4867,74.1774,74.8444,75.2393,76.1313,76.4741,76.8257,76.817,76.5988,76.6369,76.6369,78.3015,80.1279,80.3276,80.4099,81.2505,81.18,80.9172,80.715,80.6327,80.1678,80.1765,80.2224,80.2739,80.1484,79.3135,79.2961,78.9128,78.7194,78.1868,77.9717,77.7679,77.5498,76.6918,75.5208,74.4747,73.2671,72.4967,72.1696,71.3067,69.2372,68.2406,68.2549,67.9365,67.4691,67.4691,66.9337,67.0056,67.0236,66.9856,66.8859,66.6102,66.4098,66.0376,65.0538,64.3611,63.4713,63.1434,63.1434,62.737,62.4115,62.0787,61.2424,61.3478,61.3478,61.3602,62.0293,61.5747,62.4619,62.0315,62.8277,62.189,62.0109,62.0911,61.8678,61.7257,61.3834,60.9619,60.8593,61.2034,61.418293,61.4182926,61.4182926,61.39534884,62.37521849,62.335588,62.73498351,62.75914301,62.57598444,61.7101633,59.30142903,58.05418173,57.03716835,55.65033882,55.75896303,55.65280093,55.39445872,55.36794261,55.35688883,55.26008758,55.29337343,55.37382138,55.49370512,55.69540019,55.95968634
용산구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.1572,45.7316,45.8725,46.3675,46.8099,48.6051,49.0249,49.6799,50.2798,50.6427,51.6186,51.8614,52.5081,52.7784,53.4203,54.005,54.1377,55.0657,55.4457,56.0921,56.4569,57.2697,57.8102,58.1885,58.4807,58.5335,59.0138,59.8616,59.9597,60.2702,60.6017,60.5216,60.5083,60.8486,61.1733,61.1733,62.2125,63.065,63.3247,63.657,63.4582,63.27,63.1395,62.6943,62.5553,62.5496,62.5385,62.6121,62.362,61.7325,60.9261,60.4559,59.2058,58.925,59.0948,58.915,58.557,57.4236,56.6672,54.8343,54.4068,53.8427,53.2328,52.5235,52.0799,50.0793,49.6525,49.161,49.0303,49.3706,49.3706,49.3439,49.4026,49.392,49.3596,49.0908,48.9002,48.6843,48.2384,47.8866,47.2903,46.8523,46.5036,46.5036,46.5978,46.828,46.7903,46.3432,46.063,46.063,46.2198,47.2797,47.9501,48.1903,48.8497,49.4371,49.1684,49.2826,50.8006,51.9727,52.3137,52.3327,52.1846,51.7369,51.5226,51.53863,51.46472316,51.28789105,51.22178043,50.54745646,49.9902964,49.93954003,49.85277829,49.65180716,49.41864348,46.53302021,45.39033653,43.95313063,43.22973336,42.81526195,42.179137,42.25443962,42.2771809,41.96308063,41.84346488,41.94172708,42.13545995,42.55911489,42.64248599,42.85826098
성동구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.0714,57.3441,57.7344,58.4942,60.087,61.1618,62.448,63.1661,64.356,65.1158,65.7497,66.329,67.5347,67.633,67.9997,68.2958,68.596,68.6074,68.7626,69.5593,69.6344,69.7542,70.2136,70.7106,71.3822,71.5249,72.7555,73.5944,74.1508,74.9908,76.0914,77.1277,78.1274,80.4154,80.6816,80.6816,81.0682,80.9881,81.0402,80.905,80.7423,80.4874,79.3664,78.6617,78.6818,78.4926,78.2395,78.0381,78.2676,77.8556,76.6643,75.9749,74.9584,74.3057,73.36,72.6382,71.7293,70.1742,68.5461,66.4465,65.0938,64.7362,64.3364,63.7457,62.9249,59.9423,59.0185,58.7826,58.091,58.1618,58.1618,57.7109,57.7917,57.7104,57.7978,57.4129,57.1351,56.6052,55.6612,55.0856,54.153,53.5357,52.9944,52.9944,52.4574,52.6774,52.7328,52.2992,52.0981,52.0981,53.776,55.3116,56.0266,55.2195,54.5907,54.364,55.0589,54.9631,54.4327,54.3557,53.9237,53.2812,52.9426,53.0168,53.0604,53.09344,53.31046446,53.17174704,53.26167988,53.46797596,53.45229462,53.48393028,53.35900589,53.33821168,53.0515488,52.45888203,51.83713528,51.15821803,50.77948261,50.65317395,50.71089215,50.67851104,50.77661881,50.8362649,50.95770563,50.93390715,50.94631603,51.04574295,51.17970047,51.42490639
광진구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.1127,57.568,58.2071,59.2538,60.2104,61.42,62.5907,63.3638,64.3873,65.4424,66.1126,66.6569,66.9675,67.1605,67.5579,67.694,67.9935,68.2881,68.8527,69.623,70.0282,70.395,70.973,72.0458,72.249,72.6879,73.7393,73.8105,74.1987,74.4707,75.0143,75.3492,75.5904,74.3386,74.9323,74.9323,76.079,76.2276,76.0162,76.1621,75.9965,76.1126,76.1558,75.563,75.4365,75.4452,75.4238,75.1661,75.0596,74.7532,73.8149,73.5053,72.9546,72.6239,72.1365,71.8369,71.046,69.9179,69.0888,67.0222,66.1377,65.7024,65.0926,64.346,63.533,61.9365,60.8278,60.3822,60.1782,60.444,60.444,59.8206,59.8151,59.7709,59.7422,59.2288,58.7505,58.0027,57.5217,56.1606,54.8187,54.5928,54.2151,54.2151,53.1492,53.3383,52.97,52.4732,52.3654,52.3654,53.574,54.5164,55.4029,56.4012,56.1468,55.9087,55.8088,55.683,55.6389,55.1831,54.7076,54.5087,54.4396,54.3364,54.4748,54.555925,54.32416714,54.37528744,54.36043156,54.25603795,54.4820524,54.37554222,54.30062341,54.18542422,54.15129906,54.46736637,53.64225597,52.07933597,51.43350762,51.27870519,50.91360283,50.85284476,50.83137326,50.70929389,50.92669102,51.20711173,51.49107192,51.64549198,51.85756647,52.0760763
동대문구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.4956,59.5499,59.6521,60.6015,60.9432,61.6057,61.8942,62.6143,63.2527,63.9059,64.42,65.3135,65.9292,66.5578,67.1564,67.2894,68.1703,69.5139,69.6752,69.8253,70.2503,70.6069,71.9106,72.529,72.7593,72.9462,73.3826,73.6983,73.6076,74.6467,75.566,75.8524,76.3547,76.1841,76.9387,76.9387,77.374,77.9967,79.7753,79.8833,80.2718,80.1252,80.2798,80.0741,80.1155,80.2555,80.1044,80.1536,80.6749,81.2143,81.012,80.6433,79.5525,79.5841,79.2006,78.9288,78.8815,77.7086,76.2937,74.5041,72.9121,72.3756,71.069,69.621,68.9895,65.65,63.7996,63.1335,62.7209,62.4576,62.4576,62.0901,61.7058,61.509,61.1597,61.2265,61.2774,61.0422,60.8143,60.4447,59.7873,58.8656,56.7726,56.7726,55.8849,55.8463,55.5504,54.7887,54.7797,54.7797,55.5885,56.9021,57.5775,58.2921,58.4919,59.0934,59.024,59.0268,58.8739,58.5699,58.7082,57.758,57.4481,57.2588,57.1558,56.864037,56.9902865,56.97368786,56.88225292,57.01832888,57.05899487,57.2618733,57.18166775,57.11751663,57.21426816,58.59061951,57.80755781,57.5849108,57.10240734,56.64168536,56.33741744,56.10746562,56.10179928,56.27165921,56.35654054,56.36919163,56.39686336,56.5736981,56.9528075,57.41037512
중랑구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.768,58.8769,59.1395,59.3436,59.8134,60.2909,60.6495,61.5931,61.8742,61.9443,62.1984,62.7548,63.1683,63.3563,63.4032,63.5214,63.6588,63.9244,64.2456,64.3984,64.9993,66.1756,66.9561,67.9855,69.1323,69.8565,70.347,70.7707,71.1312,71.5152,71.5849,72.8523,73.2402,74.6095,74.7878,74.7878,76.3449,77.3708,77.5695,78.5383,79.2624,79.445,79.4692,79.0796,79.235,79.2242,79.5158,79.809,79.9827,79.7544,79.4375,79.595,79.1884,79.2103,79.4686,79.5475,79.4024,79.0738,78.7846,78.1191,77.448,77.1701,76.595,75.9836,75.7742,74.1076,72.7937,71.641,70.821,71.0924,71.0924,70.6688,70.0443,69.7352,69.6098,69.1639,68.7929,67.9017,67.6333,66.9871,66.2854,65.993,65.5707,65.5707,64.0112,63.7417,62.7711,61.9422,60.6318,60.6318,59.8132,60.5548,60.9698,61.071,61.3375,61.005,61.2964,61.7506,61.314,61.0678,60.6903,60.0954,59.4041,59.6068,59.5258,59.816273,59.78452876,59.82072677,59.96222491,59.96472754,60.16591476,60.13600216,60.13600216,60.1396354,60.22313198,60.61753905,60.25420406,59.42157402,59.0598661,58.30695796,58.33733278,58.39323905,58.59648863,58.38541063,58.48648243,58.53178375,58.93248471,59.27406251,59.4542969,59.62705427
