지역명,Dec-98,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24
종로구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.1178,57.1298,57.4038,57.8198,58.237,58.9834,59.5576,59.5516,59.7256,60.0646,60.7231,61.3565,61.5733,61.6393,61.9313,62.04,62.2911,62.5329,62.7114,64.8629,65.1505,65.4097,65.9927,66.0749,66.1077,66.5178,66.997,67.1867,68.0598,68.1665,68.5003,68.6447,68.5335,66.606,67.4471,67.4471,67.4812,67.6197,68.1231,69.3434,70.3398,70.4481,70.4341,70.4587,70.2396,70.4397,70.1435,70.4559,70.4482,71.5101,71.114,70.8867,70.6071,70.4238,70.2296,70.0713,69.5861,70.0515,69.9468,69.6048,69.4196,69.9721,69.8616,69.8946,69.7725,68.3657,67.0744,66.3913,66.08,66.9843,66.9843,66.6148,65.1759,65.7366,65.901,65.5444,65.533,64.3547,64.0531,63.2666,63.0867,62.8332,62.6859,62.6859,63.308,63.4659,63.5056,63.3181,62.5543,62.5543,62.997,64.0815,64.4756,64.2488,63.4042,62.8628,61.568,61.3756,61.5427,62.6384,63.0219,62.4026,61.8475,64.4639,65.0188,65.127463,65.12746322,65.01804434,64.87351035,64.42855497,64.31860516,64.19502088,64.16773577,64.15907143,64.10913054,59.85232299,59.27862126,58.03256418,57.13794702,57.29369974,56.70418001,56.3316448,56.37717977,56.46073402,56.34456053,56.43364153,56.48426067,56.69085511,57.05882796,57.44181791
중구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.0775,59.4705,60.1023,60.1687,60.8249,61.9168,63.0934,63.3911,64.4465,65.4418,65.4801,66.4062,67.0248,67.5089,67.694,67.8666,68.8447,69.1622,69.5903,69.6933,69.9955,70.0968,70.6504,72.0246,72.3351,73.4867,74.1774,74.8444,75.2393,76.1313,76.4741,76.8257,76.817,76.5988,76.6369,76.6369,78.3015,80.1279,80.3276,80.4099,81.2505,81.18,80.9172,80.715,80.6327,80.1678,80.1765,80.2224,80.2739,80.1484,79.3135,79.2961,78.9128,78.7194,78.1868,77.9717,77.7679,77.5498,76.6918,75.5208,74.4747,73.2671,72.4967,72.1696,71.3067,69.2372,68.2406,68.2549,67.9365,67.4691,67.4691,66.9337,67.0056,67.0236,66.9856,66.8859,66.6102,66.4098,66.0376,65.0538,64.3611,63.4713,63.1434,63.1434,62.737,62.4115,62.0787,61.2424,61.3478,61.3478,61.3602,62.0293,61.5747,62.4619,62.0315,62.8277,62.189,62.0109,62.0911,61.8678,61.7257,61.3834,60.9619,60.8593,61.2034,61.418293,61.4182926,61.4182926,61.39534884,62.37521849,62.335588,62.73498351,62.75914301,62.57598444,61.7101633,59.30142903,58.05418173,57.03716835,55.65033882,55.75896303,55.65280093,55.39445872,55.36794261,55.35688883,55.26008758,55.29337343,55.37382138,55.49370512,55.69540019,55.95968634
용산구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.1572,45.7316,45.8725,46.3675,46.8099,48.6051,49.0249,49.6799,50.2798,50.6427,51.6186,51.8614,52.5081,52.7784,53.4203,54.005,54.1377,55.0657,55.4457,56.0921,56.4569,57.2697,57.8102,58.1885,58.4807,58.5335,59.0138,59.8616,59.9597,60.2702,60.6017,60.5216,60.5083,60.8486,61.1733,61.1733,62.2125,63.065,63.3247,63.657,63.4582,63.27,63.1395,62.6943,62.5553,62.5496,62.5385,62.6121,62.362,61.7325,60.9261,60.4559,59.2058,58.925,59.0948,58.915,58.557,57.4236,56.6672,54.8343,54.4068,53.8427,53.2328,52.5235,52.0799,50.0793,49.6525,49.161,49.0303,49.3706,49.3706,49.3439,49.4026,49.392,49.3596,49.0908,48.9002,48.6843,48.2384,47.8866,47.2903,46.8523,46.5036,46.5036,46.5978,46.828,46.7903,46.3432,46.063,46.063,46.2198,47.2797,47.9501,48.1903,48.8497,49.4371,49.1684,49.2826,50.8006,51.9727,52.3137,52.3327,52.1846,51.7369,51.5226,51.53863,51.46472316,51.28789105,51.22178043,50.54745646,49.9902964,49.93954003,49.85277829,49.65180716,49.41864348,46.53302021,45.39033653,43.95313063,43.22973336,42.81526195,42.179137,42.25443962,42.2771809,41.96308063,41.84346488,41.94172708,42.13545995,42.55911489,42.64248599,42.85826098
성동구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.0714,57.3441,57.7344,58.4942,60.087,61.1618,62.448,63.1661,64.356,65.1158,65.7497,66.329,67.5347,67.633,67.9997,68.2958,68.596,68.6074,68.7626,69.5593,69.6344,69.7542,70.2136,70.7106,71.3822,71.5249,72.7555,73.5944,74.1508,74.9908,76.0914,77.1277,78.1274,80.4154,80.6816,80.6816,81.0682,80.9881,81.0402,80.905,80.7423,80.4874,79.3664,78.6617,78.6818,78.4926,78.2395,78.0381,78.2676,77.8556,76.6643,75.9749,74.9584,74.3057,73.36,72.6382,71.7293,70.1742,68.5461,66.4465,65.0938,64.7362,64.3364,63.7457,62.9249,59.9423,59.0185,58.7826,58.091,58.1618,58.1618,57.7109,57.7917,57.7104,57.7978,57.4129,57.1351,56.6052,55.6612,55.0856,54.153,53.5357,52.9944,52.9944,52.4574,52.6774,52.7328,52.2992,52.0981,52.0981,53.776,55.3116,56.0266,55.2195,54.5907,54.364,55.0589,54.9631,54.4327,54.3557,53.9237,53.2812,52.9426,53.0168,53.0604,53.09344,53.31046446,53.17174704,53.26167988,53.46797596,53.45229462,53.48393028,53.35900589,53.33821168,53.0515488,52.45888203,51.83713528,51.15821803,50.77948261,50.65317395,50.71089215,50.67851104,50.77661881,50.8362649,50.95770563,50.93390715,50.94631603,51.04574295,51.17970047,51.42490639
광진구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.1127,57.568,58.2071,59.2538,60.2104,61.42,62.5907,63.3638,64.3873,65.4424,66.1126,66.6569,66.9675,67.1605,67.5579,67.694,67.9935,68.2881,68.8527,69.623,70.0282,70.395,70.973,72.0458,72.249,72.6879,73.7393,73.8105,74.1987,74.4707,75.0143,75.3492,75.5904,74.3386,74.9323,74.9323,76.079,76.2276,76.0162,76.1621,75.9965,76.1126,76.1558,75.563,75.4365,75.4452,75.4238,75.1661,75.0596,74.7532,73.8149,73.5053,72.9546,72.6239,72.1365,71.8369,71.046,69.9179,69.0888,67.0222,66.1377,65.7024,65.0926,64.346,63.533,61.9365,60.8278,60.3822,60.1782,60.444,60.444,59.8206,59.8151,59.7709,59.7422,59.2288,58.7505,58.0027,57.5217,56.1606,54.8187,54.5928,54.2151,54.2151,53.1492,53.3383,52.97,52.4732,52.3654,52.3654,53.574,54.5164,55.4029,56.4012,56.1468,55.9087,55.8088,55.683,55.6389,55.1831,54.7076,54.5087,54.4396,54.3364,54.4748,54.555925,54.32416714,54.37528744,54.36043156,54.25603795,54.4820524,54.37554222,54.30062341,54.18542422,54.15129906,54.46736637,53.64225597,52.07933597,51.43350762,51.27870519,50.91360283,50.85284476,50.83137326,50.70929389,50.92669102,51.20711173,51.49107192,51.64549198,51.85756647,52.0760763
동대문구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.4956,59.5499,59.6521,60.6015,60.9432,61.6057,61.8942,62.6143,63.2527,63.9059,64.42,65.3135,65.9292,66.5578,67.1564,67.2894,68.1703,69.5139,69.6752,69.8253,70.2503,70.6069,71.9106,72.529,72.7593,72.9462,73.3826,73.6983,73.6076,74.6467,75.566,75.8524,76.3547,76.1841,76.9387,76.9387,77.374,77.9967,79.7753,79.8833,80.2718,80.1252,80.2798,80.0741,80.1155,80.2555,80.1044,80.1536,80.6749,81.2143,81.012,80.6433,79.5525,79.5841,79.2006,78.9288,78.8815,77.7086,76.2937,74.5041,72.9121,72.3756,71.069,69.621,68.9895,65.65,63.7996,63.1335,62.7209,62.4576,62.4576,62.0901,61.7058,61.509,61.1597,61.2265,61.2774,61.0422,60.8143,60.4447,59.7873,58.8656,56.7726,56.7726,55.8849,55.8463,55.5504,54.7887,54.7797,54.7797,55.5885,56.9021,57.5775,58.2921,58.4919,59.0934,59.024,59.0268,58.8739,58.5699,58.7082,57.758,57.4481,57.2588,57.1558,56.864037,56.9902865,56.97368786,56.88225292,57.01832888,57.05899487,57.2618733,57.18166775,57.11751663,57.21426816,58.59061951,57.80755781,57.5849108,57.10240734,56.64168536,56.33741744,56.10746562,56.10179928,56.27165921,56.35654054,56.36919163,56.39686336,56.5736981,56.9528075,57.41037512
중랑구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.768,58.8769,59.1395,59.3436,59.8134,60.2909,60.6495,61.5931,61.8742,61.9443,62.1984,62.7548,63.1683,63.3563,63.4032,63.5214,63.6588,63.9244,64.2456,64.3984,64.9993,66.1756,66.9561,67.9855,69.1323,69.8565,70.347,70.7707,71.1312,71.5152,71.5849,72.8523,73.2402,74.6095,74.7878,74.7878,76.3449,77.3708,77.5695,78.5383,79.2624,79.445,79.4692,79.0796,79.235,79.2242,79.5158,79.809,79.9827,79.7544,79.4375,79.595,79.1884,79.2103,79.4686,79.5475,79.4024,79.0738,78.7846,78.1191,77.448,77.1701,76.595,75.9836,75.7742,74.1076,72.7937,71.641,70.821,71.0924,71.0924,70.6688,70.0443,69.7352,69.6098,69.1639,68.7929,67.9017,67.6333,66.9871,66.2854,65.993,65.5707,65.5707,64.0112,63.7417,62.7711,61.9422,60.6318,60.6318,59.8132,60.5548,60.9698,61.071,61.3375,61.005,61.2964,61.7506,61.314,61.0678,60.6903,60.0954,59.4041,59.6068,59.5258,59.816273,59.78452876,59.82072677,59.96222491,59.96472754,60.16591476,60.13600216,60.13600216,60.1396354,60.22313198,60.61753905,60.25420406,59.42157402,59.0598661,58.30695796,58.33733278,58.39323905,58.59648863,58.38541063,58.48648243,58.53178375,58.93248471,59.27406251,59.4542969,59.62705427
성북구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.1814,63.3443,63.7873,64.6634,65.8071,67.1323,68.0504,68.6086,69.0922,69.7014,69.8489,70.3941,70.7236,70.888,71.1436,71.2212,71.3039,71.8349,72.1309,72.4746,72.9748,73.3718,73.8196,75.0078,75.4147,75.416,76.7202,78.122,80.051,81.6045,81.7804,82.122,82.6394,83.2968,83.7156,83.7156,83.8899,84.253,84.5141,84.3239,84.2293,84.0535,84.0392,83.9488,83.7888,83.8209,83.7063,83.5879,83.3451,83.272,83.1867,82.7642,82.1264,81.9628,81.646,81.5197,81.3176,80.8405,80.5546,79.518,77.6969,77.1427,76.5448,75.1749,74.2519,71.898,69.7665,68.3734,68.0927,67.0347,67.0347,65.231,65.2303,65.6082,65.7405,65.6344,65.8075,65.7502,65.6229,65.0177,64.0463,62.7187,61.9435,61.9435,60.4547,60.6741,60.3322,59.7438,58.7114,58.7114,60.2947,62.1347,62.4483,62.6428,63.2172,62.6558,62.3387,62.3883,61.932,62.333,62.2752,62.5605,62.2191,61.996,61.9485,61.831405,61.72035128,61.52814813,61.26820652,61.12196254,61.12255214,61.15530232,61.21883969,61.14485197,60.95238457,59.40388148,58.60860422,57.75755836,57.32945096,57.32564077,57.61797977,57.76269173,57.89040046,57.8866237,57.87887604,57.9232797,58.18134156,58.53273344,59.01548294,59.50116385
강북구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.7051,56.8527,57.0791,57.6313,58.3622,59.9876,61.3918,61.7695,62.1044,62.8315,63.2373,63.8362,64.0936,64.5774,65.1131,65.5965,66.1127,66.2038,66.4534,66.8076,67.1414,68.0758,68.6854,69.4468,69.7836,70.4033,71.3505,71.8216,72.488,73.4178,74.2878,74.6632,75.4679,75.9928,76.6684,76.6684,76.9445,77.1471,77.2347,77.3799,77.37,77.6441,77.6913,77.7548,77.7533,77.8735,77.8689,77.7681,77.7179,77.5943,77.3389,77.0469,76.5556,76.6745,76.4637,76.2713,75.9962,76.105,75.9929,75.8857,75.676,75.4258,74.9267,74.6297,74.294,69.5923,66.9227,65.8504,65.7103,65.3235,65.3235,64.9522,64.8931,64.8444,65.0162,64.7574,64.3697,64.0933,63.9549,63.8107,63.572,63.1937,62.9418,62.9418,60.6532,61.3878,61.0595,59.495,58.6978,58.6978,59.4589,59.8991,59.904,60.5233,60.3442,60.4443,60.53,60.7451,60.2752,60.6826,60.0553,59.4351,59.0369,58.9175,58.9345,59.028281,59.16280681,59.32126547,59.31448566,59.52264742,59.52900552,59.77864027,59.76173583,59.70977916,59.94169864,59.41234739,59.28512779,58.28480532,57.25055457,56.64606502,56.70594375,56.72367744,56.82833076,56.82737776,56.81974712,57.07845494,57.22612152,57.41784343,57.93864433,58.78712067
도봉구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.8639,58.9409,59.1221,59.7922,60.554,61.7217,62.911,63.7136,63.684,63.9693,64.6842,64.9299,65.1922,65.263,65.3467,65.3975,65.9662,66.1445,66.8574,67.0846,67.5811,67.4485,67.8839,68.4135,69.1531,70.0901,71.0875,71.3825,71.7616,72.9594,73.3005,75.3926,75.6945,75.5687,75.8315,75.8315,76.5169,77.3055,78.8695,78.5667,78.3942,78.3929,78.1312,77.8098,77.8347,77.6824,77.2319,77.0132,77.047,76.9911,77.1516,76.7923,76.004,75.8962,75.6366,75.2219,74.863,74.294,74.0177,73.5385,73.0018,72.4352,72.1289,71.654,71.0193,67.7001,65.6841,64.5613,63.9512,63.7565,63.7565,63.2888,62.9643,62.8644,62.8526,62.0323,61.8919,61.577,61.1875,60.747,60.3676,60.3042,59.8704,59.8704,58.2719,58.233,57.7451,56.6989,55.12,55.12,55.3414,56.9046,57.349,57.602,57.318,56.083,55.4378,55.4497,55.1962,55.3008,55.0317,54.3435,54.1114,54.1403,54.0883,54.256258,54.51476147,54.72959299,54.75638642,54.75493194,54.80435758,55.05260344,55.30464131,55.4970403,56.27562354,54.48068645,54.39762422,54.19235714,53.66473456,53.47268771,53.15779884,53.21208301,53.57463431,53.05173264,52.60134915,52.45472621,52.64694242,53.02019554,53.24108181,53.57832362
