날짜,용산구,서초구,강남구,송파구,강동구,광진구,중랑구,노원구,도봉구,강북구,성북구,동대문구,성동구,중구,종로구,서대문구,은평구,마포구,강서구,양천구,영등포구,구로구,금천구,관악구,동작구
2015-01-01,58.9,59.075,56.55,55.0,58.625,58.8,62.5,51.0,56.0,58.4,56.6,59.25,57.675000000000004,65.2,70.9,60.225,59.4,53.675000000000004,55.1,53.8,51.9,53.725,60.175000000000004,59.5,53.9
2015-02-01,58.93333333333334,59.199999999999996,56.666666666666664,55.03333333333333,58.86666666666667,58.79999999999999,62.5,51.13333333333333,56.06666666666666,58.5,56.76666666666667,59.4,57.79999999999999,65.23333333333333,71.06666666666666,60.4,59.5,53.73333333333333,55.20000000000001,53.86666666666667,51.96666666666667,53.79999999999999,60.26666666666667,59.5,53.93333333333334
2015-03-01,59.1,59.58,57.04,55.17999999999999,59.339999999999996,59.08,62.64,51.4,56.32000000000001,58.64,57.1,59.620000000000005,58.1,65.42,71.26,60.779999999999994,59.779999999999994,54.02,55.620000000000005,54.1,52.04,54.02,60.54,59.7,54.220000000000006
2015-04-01,59.349999999999994,60.125,57.35,55.425,59.85,59.275,62.9,51.775,56.575,58.925,57.55,59.849999999999994,58.475,65.57499999999999,71.475,61.150000000000006,60.1,54.375,56.05,54.525,52.150000000000006,54.425,60.875,60.05,54.625
2015-05-01,59.475,60.349999999999994,57.65,55.575,60.125,59.375,63.125,51.9,56.7,59.05,57.8,60.125,58.650000000000006,65.725,71.5,61.325,60.3,54.55,56.375,54.7,52.45,54.725,61.0,60.324999999999996,54.825
2015-06-01,59.64,60.64,58.08,55.779999999999994,60.44,59.54,63.339999999999996,52.04,56.96,59.3,58.17999999999999,60.4,58.779999999999994,66.0,71.64,61.54,60.46,54.82000000000001,56.779999999999994,54.94,52.86,55.06,61.14,60.54,55.04
2015-07-01,59.849999999999994,60.975,58.5,56.0,60.85,59.925,63.625,52.25,57.25,59.5,58.525,60.725,59.075,66.325,71.85,61.75,60.525,55.1,57.25,55.25,53.175,55.425,61.425,60.975,55.35
2015-08-01,59.9,61.5,59.0,56.2,61.17999999999999,60.279999999999994,63.839999999999996,52.58,57.6,59.92,59.04,60.96,59.42,66.5,71.92,62.0,60.739999999999995,55.339999999999996,57.6,55.56,53.6,55.8,61.6,61.379999999999995,55.739999999999995
2015-09-01,60.03333333333333,61.93333333333334,59.300000000000004,56.43333333333334,61.46666666666667,60.43333333333334,64.03333333333333,52.9,58.06666666666666,60.333333333333336,59.6,61.1,59.800000000000004,66.8,72.06666666666666,62.26666666666667,61.03333333333333,55.56666666666666,58.0,55.9,54.03333333333333,56.26666666666667,61.833333333333336,61.73333333333333,56.23333333333333
2015-10-01,60.3,62.25,59.725,56.7,61.7,60.6,64.25,53.25,58.425,60.675,60.05,61.475,60.15,66.92500000000001,72.225,62.5,61.35,55.825,58.45,56.3,54.475,56.65,62.2,61.925,56.55
