날짜,동|면적,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2006년 01월,동(호),7704,37,155,406,174,121,219,150,539,106,268,663,86,143,233,921,428,277,99,366,235,158,653,459,602,206
,면적,686,3,13,43,14,11,18,11,42,8,20,44,7,10,17,81,33,20,7,72,21,12,70,37,57,15
2006년 02월,동(호),12717,69,199,294,340,335,359,353,681,189,608,1549,225,299,391,766,773,488,225,688,487,415,585,802,779,818
,면적,1080,6,19,29,27,27,103,27,53,14,46,101,18,24,28,58,58,36,16,60,40,33,67,54,76,62
2006년 03월,동(호),17419,66,168,423,567,364,922,432,848,226,626,1568,279,491,543,1184,942,855,272,794,709,770,911,1472,1173,814
,면적,1391,6,14,40,45,31,72,32,70,17,46,107,22,39,42,95,73,64,20,67,61,60,89,112,105,62
2006년 04월,동(호),14919,87,258,394,529,504,440,440,639,238,563,1413,275,669,419,900,1030,711,231,691,649,758,618,1037,755,671
,면적,1187,8,22,36,46,43,36,33,53,19,40,97,22,47,32,68,80,54,17,56,54,62,67,82,65,47
2006년 05월,동(호),16277,82,134,415,678,482,438,506,868,559,565,1352,268,881,748,734,1141,985,197,613,626,585,888,852,859,821
,면적,1284,6,11,35,67,41,36,38,72,43,42,91,21,61,61,53,84,77,15,52,52,48,82,66,71,58
2006년 06월,동(호),11574,71,88,270,454,413,339,353,1294,311,503,1022,216,513,555,364,845,695,195,479,380,423,505,371,492,423
,면적,916,5,7,23,42,36,28,27,105,25,36,70,18,38,44,26,60,53,15,39,31,33,54,29,42,30
2006년 07월,동(호),8649,47,78,168,292,215,248,261,741,294,416,942,324,321,363,329,509,619,141,333,230,370,478,291,351,288
,면적,680,4,6,14,28,19,21,19,62,22,30,62,26,26,26,25,35,47,11,26,18,29,47,27,32,20
2006년 08월,동(호),8463,86,78,199,302,296,254,274,456,167,416,1055,270,300,319,505,567,607,161,342,300,300,292,274,341,302
,면적,658,5,6,18,24,26,21,20,37,13,29,69,21,24,24,40,38,45,12,26,34,23,25,25,30,22
2006년 09월,동(호),15880,130,141,338,424,517,498,513,1089,363,797,2051,364,401,548,800,904,1236,308,541,529,538,489,874,732,755
,면적,1220,10,11,31,32,44,40,38,86,27,57,137,29,34,40,67,60,93,23,42,44,42,48,70,61,55
2006년 10월,동(호),22346,187,189,340,707,534,619,605,1297,517,1035,2643,420,552,809,1043,1147,1373,417,805,1088,955,1103,1458,1317,1186
,면적,1712,14,15,31,54,43,52,44,107,40,72,180,32,44,54,77,75,106,31,64,94,73,104,112,109,86
2006년 11월,동(호),27800,263,270,361,984,631,1049,1068,1333,498,1959,4455,509,836,674,1069,1482,1649,575,1004,1141,901,805,1351,1353,1580
,면적,2153,20,23,32,74,51,86,77,105,38,142,293,39,65,48,76,100,122,43,79,95,68,164,92,106,113
2006년 12월,동(호),18551,172,246,261,543,337,639,680,1062,331,1422,3245,325,571,489,886,910,1036,355,615,567,463,724,1037,750,885
,면적,1364,13,19,22,42,28,51,47,82,24,98,199,25,44,35,80,62,76,25,47,47,34,67,75,62,63
2007년 01월,동(호),9411,187,108,123,224,111,312,377,1071,136,626,1147,213,272,265,496,415,546,213,236,253,303,401,354,608,414
,면적,710,16,8,10,17,10,25,26,80,10,40,69,17,22,21,51,27,44,16,16,23,22,39,28,43,31
2007년 02월,동(호),5971,76,62,68,130,132,258,219,570,111,394,766,109,242,150,261,229,334,115,169,188,154,271,277,339,347
,면적,683,6,5,5,10,14,19,15,42,8,24,48,8,20,11,26,14,23,8,12,16,11,29,21,261,27
2007년 03월,동(호),7430,85,76,92,132,324,399,330,371,208,479,959,180,329,183,248,351,370,129,231,227,227,234,454,310,502
,면적,550,7,6,7,10,39,26,22,27,14,29,55,14,25,13,20,24,25,9,16,18,17,23,39,24,40
2007년 04월,동(호),7461,96,90,153,230,265,317,434,314,160,469,986,181,280,234,260,340,474,161,253,220,293,192,425,241,393
,면적,532,8,7,12,18,28,23,29,22,11,28,56,14,21,17,20,20,32,11,17,17,20,17,37,19,31
2007년 05월,동(호),6422,73,87,190,155,255,275,320,227,143,451,813,151,206,377,252,261,333,103,207,203,194,230,379,221,316
,면적,475,6,6,16,12,28,20,20,17,10,30,47,12,15,30,20,17,24,7,15,17,14,22,28,17,25
2007년 06월,동(호),6456,48,74,232,135,368,523,331,287,95,358,670,157,212,242,197,261,460,109,149,134,171,209,398,309,327
,면적,502,4,6,21,10,46,42,23,22,7,24,38,12,15,18,15,18,36,7,10,11,12,20,36,24,25
2007년 07월,동(호),7018,51,77,231,142,386,461,318,313,216,386,893,162,215,202,243,314,475,120,201,202,176,211,368,312,343
,면적,569,4,6,21,11,42,37,63,24,15,24,52,12,16,14,18,22,37,8,14,16,13,20,29,25,27
2007년 08월,동(호),6862,54,96,338,159,150,313,288,408,154,464,917,160,306,204,254,339,384,105,232,172,218,210,333,245,359
,면적,528,4,8,31,12,15,25,48,30,11,33,53,12,25,14,19,23,26,7,17,13,15,19,26,19,26
2007년 09월,동(호),6303,44,63,369,112,118,447,279,320,142,428,834,162,174,170,188,395,286,121,177,163,164,132,279,461,275
,면적,493,3,5,42,8,12,35,19,23,35,30,49,12,12,11,14,29,19,8,12,12,12,12,20,36,20
2007년 10월,동(호),8522,58,98,391,155,141,333,299,510,176,486,1096,231,338,252,262,520,480,182,414,322,225,212,335,705,301
,면적,630,4,7,42,11,15,26,21,38,13,32,65,18,26,18,20,37,34,13,32,31,16,19,24,48,21
2007년 11월,동(호),8918,65,80,472,155,117,361,293,847,258,472,1219,183,335,295,243,685,454,178,356,380,225,193,283,447,322
,면적,819,5,6,57,11,12,32,19,65,134,32,73,14,27,35,17,52,34,12,28,37,17,19,21,35,23
2007년 12월,동(호),7674,116,85,296,160,154,292,273,439,137,421,1160,199,238,286,235,703,338,147,251,337,197,212,294,408,296
,면적,586,12,6,31,12,14,23,19,33,11,28,70,15,18,21,17,55,24,10,18,35,14,20,23,34,22
2008년 01월,동(호),7233,155,69,240,152,145,196,213,296,121,392,1001,191,174,450,197,887,320,116,243,219,190,199,305,477,285
,면적,543,16,5,24,11,13,15,15,22,10,26,61,15,14,35,15,64,22,8,18,18,14,19,23,38,21
2008년 02월,동(호),6953,155,59,123,185,136,217,221,302,157,439,1037,199,215,271,206,517,332,147,281,240,213,218,243,531,309
,면적,517,15,4,12,14,13,16,15,23,17,29,65,15,17,19,15,35,22,10,22,19,16,21,19,42,23
2008년 03월,동(호),10746,289,81,154,287,203,369,415,450,162,750,1918,256,299,475,358,1022,508,162,334,284,271,262,428,541,468
,면적,776,26,6,15,22,18,28,28,33,12,50,123,20,22,29,26,69,35,11,26,23,19,24,34,43,34
2008년 04월,동(호),13590,126,127,167,328,207,713,965,913,321,1410,1589,313,380,547,476,952,665,299,418,352,337,358,479,607,541
,면적,999,10,11,16,25,16,56,73,70,24,102,102,24,28,40,35,62,42,22,32,28,24,32,38,48,38
2008년 05월,동(호),10041,110,130,116,434,209,397,474,509,211,228,497,343,306,432,565,814,627,207,469,333,407,376,449,822,576
,면적,748,9,10,11,34,18,32,36,37,16,12,27,27,24,31,41,56,45,16,35,26,32,34,31,66,43
2008년 06월,동(호),9417,84,95,125,338,170,290,249,962,175,346,504,301,307,350,452,681,566,179,680,315,461,248,348,729,462
,면적,719,8,8,13,25,13,22,18,75,13,25,31,24,24,26,33,47,41,14,56,26,39,23,24,56,35
2008년 07월,동(호),7866,221,111,98,229,135,191,159,695,116,216,541,378,263,207,386,708,462,126,672,244,367,240,270,478,353
,면적,610,19,8,10,17,11,15,11,55,9,15,38,30,22,14,28,46,33,9,66,20,28,22,20,39,25
2008년 08월,동(호),5159,61,43,52,119,72,184,99,260,130,124,232,562,141,140,241,370,347,43,412,123,134,167,165,703,235
,면적,389,5,3,6,9,6,14,7,20,10,8,14,49,11,11,18,25,26,3,36,10,10,16,12,43,16
2008년 09월,동(호),4865,54,34,44,92,53,81,81,161,59,106,172,825,165,96,170,385,196,40,192,123,122,147,152,1081,234
,면적,369,4,2,5,7,5,6,5,13,4,8,11,77,14,7,11,27,14,3,15,10,10,15,13,64,18
2008년 10월,동(호),4871,43,32,37,57,72,117,67,104,42,76,180,543,142,192,115,169,173,34,174,101,88,136,154,1798,225
,면적,367,4,2,4,5,8,9,4,7,3,5,11,54,13,16,8,12,13,3,14,9,6,14,13,116,15
2008년 11월,동(호),3087,99,19,84,52,71,47,39,114,26,50,115,219,92,104,124,262,115,15,168,90,55,135,125,701,166
,면적,257,7,2,9,4,8,3,3,9,2,4,7,23,8,8,8,20,10,1,14,8,4,13,10,59,12
2008년 12월,동(호),4343,120,24,186,55,73,318,25,250,30,50,110,978,80,188,187,150,103,24,137,108,55,127,318,464,183
,면적,365,9,2,16,5,8,19,2,20,2,4,7,106,7,14,13,11,8,2,11,9,4,12,21,41,13
2009년 01월,동(호),4358,43,23,126,63,117,288,52,310,28,62,142,215,149,143,232,88,70,31,96,104,32,317,730,664,233
