날짜,동|면적,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2006년 01월,동(호),2496,5,6,78,68,31,21,20,36,10,38,196,16,27,72,505,90,63,30,153,107,54,160,225,383,102
,면적,203,0,1,7,6,2,2,1,3,1,3,13,1,2,6,44,7,5,2,13,9,4,15,17,33,7
2006년 02월,동(호),7368,39,68,117,217,201,161,172,224,95,301,927,141,123,212,569,508,342,141,469,364,288,136,304,535,714
,면적,555,3,6,9,17,16,13,12,18,7,21,58,11,10,16,43,38,25,10,36,30,22,14,19,46,53
2006년 03월,동(호),12843,51,102,312,418,287,357,358,417,148,486,1367,221,253,414,1059,807,684,215,678,601,426,558,925,974,725
,면적,1011,4,9,28,34,23,29,26,34,12,35,93,18,18,33,83,62,50,16,53,51,34,54,74,84,55
2006년 04월,동(호),11733,82,138,267,470,339,330,413,391,195,523,1270,198,307,328,800,967,606,207,635,530,452,219,794,637,635
,면적,910,7,12,24,40,28,28,31,32,16,37,87,16,24,25,60,75,45,16,49,44,36,21,61,52,44
2006년 05월,동(호),11695,71,100,318,441,355,324,326,363,184,525,1278,203,318,378,671,975,695,186,544,502,484,378,691,600,785
,면적,893,5,8,26,37,29,27,25,30,15,39,86,16,26,29,48,71,53,14,44,41,39,32,50,46,55
2006년 06월,동(호),8198,69,81,172,356,317,247,271,352,201,476,991,161,265,249,334,676,511,189,434,340,364,169,269,317,387
,면적,618,5,7,14,28,26,21,21,29,16,34,68,13,21,18,23,47,38,15,34,28,28,17,18,23,27
2006년 07월,동(호),6374,44,72,117,241,149,200,226,363,282,390,881,174,236,220,268,450,347,122,304,215,277,153,223,167,253
,면적,476,3,5,9,19,11,17,17,31,21,28,58,14,18,15,19,30,26,9,23,17,22,14,20,12,17
2006년 08월,동(호),7053,83,70,140,281,227,221,231,389,159,408,991,201,254,242,370,522,423,152,314,227,265,149,222,233,279
,면적,532,5,5,12,22,17,18,17,32,13,28,65,15,20,18,25,35,31,11,23,28,20,13,21,18,20
2006년 09월,동(호),13228,97,131,234,408,380,448,474,633,319,766,2002,299,327,489,564,853,811,278,514,376,494,389,624,610,708
,면적,986,7,10,21,31,29,36,35,51,24,55,134,23,26,35,41,57,59,21,39,29,38,38,50,48,51
2006년 10월,동(호),19649,141,179,294,688,473,589,597,1139,512,1020,2564,377,519,614,922,1102,1014,402,735,629,796,857,1145,1189,1152
,면적,1485,10,14,26,52,37,50,43,94,40,71,174,29,40,45,66,71,77,30,58,49,60,81,90,95,84
2006년 11월,동(호),25382,161,249,288,936,524,988,1054,1115,483,1909,4350,490,809,667,965,1386,1448,561,899,855,774,628,1151,1206,1486
,면적,1851,11,20,25,71,41,82,76,89,37,138,286,38,63,47,68,92,104,42,70,67,57,58,76,88,105
2006년 12월,동(호),15793,139,217,217,494,234,540,627,726,320,1362,3101,314,535,432,549,822,844,337,517,374,445,497,815,579,756
,면적,1113,10,16,18,38,18,44,43,54,23,93,190,24,41,31,39,55,57,23,38,29,32,45,57,42,53
2007년 01월,동(호),6353,64,91,93,176,75,251,310,367,132,592,1092,202,205,163,229,317,335,124,216,162,199,163,227,229,339
,면적,442,4,7,7,13,6,20,21,28,10,38,65,16,15,12,16,19,22,9,14,13,15,16,15,16,24
2007년 02월,동(호),4403,48,52,57,119,44,224,206,244,94,369,726,107,177,137,131,209,287,102,152,123,131,134,167,126,237
,면적,303,4,4,4,9,4,16,14,17,6,22,45,8,14,10,10,12,19,7,10,10,9,12,11,9,16
2007년 03월,동(호),5597,52,69,70,111,59,358,287,268,170,452,908,173,234,168,188,248,292,127,209,139,191,147,212,199,266
