,날짜,경기선행지수,건설업주가지수,소비자물가지수,생산산업지수,환율,국고채 3년,종가,국내총생산(명목GDP),경제성장률(실질GDP성장률)
0,2003-01-01,99.42598,42.24,68.835,60.6,1294.4,4.96,591.86,196663.6,4.2
1,2003-02-01,98.88684,44.46,69.213,56.4,1299.35,4.73,575.43,196663.6,4.2
2,2003-03-01,98.49209,46.14,70.034,63,1352.15,4.78,535.7,196663.6,4.2
3,2003-04-01,98.28174,54.87,69.908,62.8,1352.31,4.6,599.35,205785.3,2.3
4,2003-05-01,98.26226,62.31,69.782,62.7,1325.14,4.27,633.42,205785.3,2.3
5,2003-06-01,98.4153,59.96,69.592,63.2,1277.86,4.07,669.93,205785.3,2.3
6,2003-07-01,98.68927,58.13,69.53,62.5,1315.11,4.37,713.52,209454.4,2.1
7,2003-08-01,99.02717,62.12,69.845,61.3,1320.56,4.62,759.47,209454.4,2.1
8,2003-09-01,99.35941,61.08,70.477,63.4,1337.78,4.25,697.52,209454.4,2.1
9,2003-10-01,99.65066,58.96,70.539,65.8,1306.11,4.28,782.36,225461.8,4
10,2003-11-01,99.88763,61.5,70.413,65.4,1323.02,4.77,796.18,225461.8,4
11,2003-12-01,100.067,66.75,70.73,71.5,1233.3,4.87,810.71,225461.8,4
12,2004-01-01,100.1895,63.13,71.172,62.1,1260.92,4.88,848.5,213471.2,5.8
13,2004-02-01,100.2553,65.84,71.487,60.6,1301.65,4.83,883.42,213471.2,5.8
14,2004-03-01,100.2801,65.94,72.181,66.6,1425.83,4.58,880.5,213471.2,5.8
15,2004-04-01,100.2896,66.44,72.181,65.5,1439.96,4.54,862.84,225589.8,6.7
16,2004-05-01,100.2805,59.31,72.119,65.5,1341.19,4.39,803.84,225589.8,6.7
17,2004-06-01,100.2625,57.94,72.119,66,1302.97,4.28,785.79,225589.8,6.7
18,2004-07-01,100.2376,55.09,72.561,64.4,1287.51,4.19,735.34,229235.5,5.2
19,2004-08-01,100.1933,68.51,73.191,62.9,1242.26,3.82,803.57,229235.5,5.2
20,2004-09-01,100.122,73.9,73.191,65.5,1263.03,3.59,835.09,229235.5,5.2
21,2004-10-01,100.0225,85.53,73.191,66.7,1214.17,3.54,834.84,240142.8,3.3
22,2004-11-01,99.92152,85.94,72.75,67,1200.12,3.42,878.06,240142.8,3.3
23,2004-12-01,99.84427,92.29,72.877,72,1204.63,3.28,895.92,240142.8,3.3
24,2005-01-01,99.81755,101.41,73.594,64.6,1187.96,3.65,932.7,224035.8,3
25,2005-02-01,99.84781,109.85,73.892,60,1182.71,4.19,1011.36,224035.8,3
26,2005-03-01,99.90146,103.37,74.338,68.8,1174.47,4.04,965.68,224035.8,3
27,2005-04-01,99.96295,106.47,74.413,67.2,1184.23,3.86,911.3,235823.7,3.9
28,2005-05-01,100.0589,109.41,74.338,68.1,1158.73,3.71,970.21,235823.7,3.9
29,2005-06-01,100.2132,127.66,74.114,68.8,1151.41,3.79,1008.16,235823.7,3.9
30,2005-07-01,100.417,143.15,74.413,67.6,1130.48,4.12,1111.29,242709.8,5
