날짜,변동률|누계,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2003년 1/4 분기,변동률,0.34,0.46,0.55,0.19,0.23,0.85,0.39,0.09,0.4,0.16,0.15,0.07,0.11,0.13,0.54,0.96,0.52,0.59,0.5,0.62,0.57,0.51,0.03,0.23,0.16,0.08
,누계,0.34,0.46,0.55,0.19,0.23,0.85,0.39,0.09,0.4,0.16,0.15,0.07,0.11,0.13,0.54,0.96,0.52,0.59,0.5,0.62,0.57,0.51,0.03,0.23,0.16,0.08
2003년 2/4 분기,변동률,0.48,0.15,0.07,0.28,0.79,1.54,1.05,0.21,0.16,0.15,0.06,0.75,0.14,0.14,0.22,0.52,0.56,0.56,0.16,0.61,0.14,0.22,0.57,0.71,0.83,0.2
,누계,0.82,0.61,0.62,0.47,1.02,2.4,1.44,0.3,0.56,0.31,0.21,0.82,0.25,0.27,0.76,1.49,1.08,1.15,0.66,1.23,0.71,0.73,0.6,0.94,0.99,0.28
2003년 3/4 분기,변동률,1.98,1.6,1.42,2.19,0.85,0.52,0.99,1.04,1.04,0.45,1.44,1,0.86,1.05,1.16,1.93,2.31,1.97,1.47,0.83,1.17,0.89,3.93,3.31,3.66,3.02
,누계,2.82,2.22,2.05,2.67,1.88,2.93,2.44,1.34,1.61,0.76,1.65,1.83,1.11,1.32,1.93,3.45,3.42,3.14,2.14,2.07,1.89,1.63,4.55,4.28,4.69,3.31
2003년 4/4 분기,변동률,2.34,2.08,2.53,2.32,2.45,2.33,2.59,2.38,2.18,2.43,2.28,2.36,2.32,2.47,2.52,1.64,2.37,2.03,1.87,2.5,2.43,2.46,2.2,2.43,2.19,2.97
,누계,5.23,4.35,4.63,5.05,4.38,5.33,5.09,3.75,3.83,3.21,3.97,4.23,3.46,3.82,4.5,5.15,5.87,5.23,4.05,4.62,4.37,4.13,6.85,6.81,6.98,6.38
2004년 1/4 분기,변동률,2.1,2.12,2.06,3.93,2.09,2.02,2.01,2,1.76,2.03,2.01,1.89,2.62,2.11,2.29,1.66,2.04,2.06,2.12,2.52,2.07,2.01,2.04,1.84,2.07,2.02
,누계,2.1,2.12,2.06,3.93,2.09,2.02,2.01,2,1.76,2.03,2.01,1.89,2.62,2.11,2.29,1.66,2.04,2.06,2.12,2.52,2.07,2.01,2.04,1.84,2.07,2.02
2004년 2/4 분기,변동률,0.95,0.82,0.32,1.83,1.52,0.87,0.9,1.04,0.59,0.99,0.62,0.89,1.31,1.23,1.09,0.68,0.99,1.44,1.15,1,0.99,1.02,1.36,0.91,0.62,0.53
,누계,3.07,2.95,2.39,5.84,3.64,2.91,2.92,3.07,2.36,3.04,2.64,2.8,3.96,3.36,3.4,2.36,3.05,3.54,3.3,3.55,3.08,3.04,3.43,2.76,2.7,2.57
2004년 3/4 분기,변동률,0.59,0.78,0.6,0.94,0.81,0.4,0.55,0.55,0.42,0.42,0.47,0.44,0.52,0.52,0.53,0.55,0.29,0.89,0.54,0.54,0.58,0.57,0.81,0.64,0.51,0.46
,누계,3.68,3.76,3,6.83,4.48,3.31,3.49,3.63,2.79,3.48,3.13,3.25,4.5,3.9,3.94,2.92,3.35,4.46,3.85,4.11,3.67,3.63,4.26,3.42,3.22,3.04
2004년 4/4 분기,변동률,0.39,0.37,1.04,0.72,0.44,0.26,0.29,0.21,0.26,0.17,0.22,0.2,0.42,0.48,0.32,0.31,0.16,0.54,0.23,0.35,0.39,0.3,0.57,0.43,0.31,0.18
,누계,4.09,4.14,4.07,7.6,4.94,3.58,3.79,3.86,3.06,3.65,3.36,3.45,4.94,4.4,4.28,3.24,3.51,5.02,4.09,4.47,4.07,3.94,4.86,3.86,3.54,3.22
2005년 01월,변동률,0.192,0.118,0.1,0.305,0.109,0.181,0.093,0.124,0.176,0.93,0.097,0.128,0.11,0.082,0.231,0.188,0.104,0.119,0.146,0.1,0.093,0.111,0.431,0.117,0.33,0.093
,누계,0.192,0.118,0.1,0.305,0.109,0.181,0.093,0.124,0.176,0.93,0.097,0.128,0.11,0.082,0.231,0.188,0.104,0.119,0.146,0.1,0.093,0.111,0.431,0.117,0.33,0.093
2005년 02월,변동률,0.14,0.132,0.097,0.152,0.12,0.092,0.052,0.132,0.149,0.376,0.081,0.124,0.131,0.151,0.216,0.096,0.102,0.16,0.133,0.284,0.124,0.1,0.072,0.192,0.112,0.107
,누계,0.332,0.25,0.197,0.457,0.229,0.273,0.145,0.256,0.325,1.31,0.178,0.252,0.241,0.233,0.447,0.284,0.206,0.279,0.279,0.384,0.217,0.211,0.503,0.309,0.442,0.2
2005년 03월,변동률,0.403,0.127,0.424,0.908,0.424,0.112,0.598,0.507,0.303,0.348,0.316,0.224,0.508,0.348,0.263,0.337,0.451,0.473,0.367,0.316,0.466,0.573,0.344,0.475,0.448,0.333
,누계,0.736,0.377,0.622,1.369,0.654,0.385,0.744,0.764,0.629,1.663,0.495,0.477,0.75,0.582,0.711,0.622,0.658,0.753,0.647,0.701,0.684,0.785,0.849,0.785,0.892,0.534
2005년 04월,변동률,0.725,0.87,0.745,0.906,0.848,0.802,0.768,0.685,0.728,0.2,0.689,0.317,0.745,0.785,0.952,0.444,0.775,1.037,0.759,0.335,0.902,0.692,0.36,0.923,0.829,0.686
,누계,1.466,1.25,1.372,2.287,1.508,1.19,1.518,1.454,1.362,1.866,1.187,0.796,1.501,1.372,1.67,1.069,1.438,1.798,1.411,1.038,1.592,1.482,1.212,1.715,1.728,1.224
2005년 05월,변동률,0.59,0.428,0.525,1.008,0.893,0.649,0.61,0.35,0.541,0.589,0.479,0.19,0.545,0.36,0.572,0.484,0.418,0.478,0.798,0.682,0.609,0.512,0.49,0.817,0.563,0.617
,누계,2.065,1.683,1.904,3.318,2.414,1.847,2.137,1.809,1.91,2.466,1.672,0.988,2.054,1.737,2.252,1.558,1.862,2.285,2.22,1.727,2.211,2.002,1.708,2.546,2.301,1.849
